1.013, 1.034,
              1.103,
              1.172,
              1.241,
              1.310,
              1.379,
              1.517,
              1.655,
              1.793,
              1.931,
              2.068,
              2.206,
              2.344,
              2.482,
              2.620,
              2.758,
              2.896,
              3.034,
              3.172,
              3.309,
              3.447,
              3.585,
              3.723,
              3.861,
              3.999,
              4.137,
              4.275,
              4.413,
              4.551,
              4.688,
              4.826,
              4.964,
              5.102,
              5.240,
              5.378,
              5.516,
              5.654,
              5.792,
              5.929,
              6.067,
              6.205,
              6.343,
              6.481,
              6.619,
              6.757,
              6.895,
              7.239,
              7.584,
              7.929,
              8.274,
              10.34,
              12.07,
              13.79,
              15.51,
              17.24,
              18.96,
              20.68,
              22.41,
              24.13,
              25.86,
              27.58,
              29.30,
              31.03,
              32.75,
              34.47,
              36.20,
              37.92,
              39.64,
              41.37,
              43.09,
              44.82,
              46.54,
              48.26,
              49.99,
              51.71,
              53.43,
              55.16,
              56.88,
              58.61,
              60.33,
              62.05,
              65.50,
              68.95,
              75.06,
              84.64,
              98.78,
              114.6,
              127.9,
              147.3,
              163.3,
              186.8,
              213.5,
              222.4